cnpj,razao_social,sigla_uf,cnae_secao,archetype,headcount,receita_point_brl,receita_pia_brl,convergencia_pct,confidence
19468671000100,CVB PRODUTOS INDUSTRIAIS LTDA,SP,C,capital_intensive,76,39347650.282187276,32448680.32,17.533372165072958,alta
66747627000119,NIVETEC INSTRUMENTACAO E CONTROLE LTDA,SP,C,family_mature_sweet_spot,43,39298434.009261005,46613886.410000004,18.61512445766936,alta
56209307000151,LUMAGI INDUSTRIA METALURGICA LTDA,SP,C,labor_intensive_midcap,64,39290296.08348013,47133790.72,19.962930846473622,alta
62049663000158,ARIMA INDUSTRIA E COMERCIO LTDA,SP,C,labor_intensive_midcap,58,39268065.61654313,43516444.74,10.81891622811969,alta
24373216000160,FRIMBETEL DISTRIBUIDORA DE CARNES LTDA,SP,G,family_mature_sweet_spot,21,39221457.59910715,37410768.99,4.616576537299243,alta
09490398000166,LOGSUP LOGISTICA E TRANSPORTES LTDA,SP,H,labor_intensive_midcap,142,39200066.87363241,30499394.74,22.19555431290563,alta
00008220000161,B.T.M. ELETROMECANICA LTDA,SP,C,labor_intensive_midcap,78,39194485.442260705,47113496.81999999,20.204401941709804,alta
14194445000164,S. MORIYA COMERCIAL LTDA,SP,G,standard,20,39173600.59440427,35629303.8,9.047666644435433,baixa
61297081000128,MECANICA ELOY LTDA,SP,C,labor_intensive_midcap,66,39163823.709743895,35657003.58,8.954233263161699,alta
07024562000114,KITEST EQUIPAMENTOS AUTOMOTIVOS LTDA,SP,C,labor_intensive_midcap,66,39163823.709743895,35657003.58,8.954233263161699,alta
29302933000115,UNITY SERVICOS DE IMPRESSAO LTDA,SP,C,labor_intensive_midcap,98,39161837.490801096,32425105.16,17.20228866274091,alta
03500636000190,FORNO PAULISTA LTDA,SP,C,labor_intensive_midcap,121,39066226.518704206,30430017.75,22.10658550441094,alta
48940837000147,INDUSTRIA E COMERCIO DE PLASTICOS N N LTDA,SP,C,labor_intensive_midcap,85,39046390.42918705,32549856.65,16.63798806439971,alta
14468100000151,INFINITY COMERCIO DE PRESENTES E PERFUMARIA LTDA,SP,G,family_mature_sweet_spot,20,39045206.52708893,35629303.8,8.748584092439202,baixa
65968372000151,IRMAOS FLEURY DE ALVARENGA LIMITADA,SP,G,standard,19,39038861.17130379,33847838.61,13.297064528920071,baixa
13361626000175,JACOBER CALDEIRARIA LTDA,SP,C,labor_intensive_midcap,67,38976062.557299465,44508898.64,14.195472091534658,alta
